time,magnitude
47408.14,10.07
47409.1,10.07
47410.08,10.13
47411.11,10.13
47412.02,10.16
47415.99,10.2
47417.02,10.21
47421.99,10.25
47425.0,10.25
47426.04,10.26
47427.08,10.24
47428.11,10.27
47429.03,10.26
47431.06,10.3
47435.04,10.38
47436.01,10.37
47437.03,10.39
47437.95,10.41
47439.06,10.39
47444.03,10.46
47447.91,10.55
47451.98,10.53
47453.08,10.55
47454.96,10.65
47457.96,10.67
47459.91,10.68
47461.02,10.67
47461.93,10.68
47463.9,10.71
47465.92,10.76
47529.5,11.59
47572.5,12.14
47599.5,12.48
47639.5,12.91
47642.5,12.97
47654.5,13.02
47668.5,13.2
47694.5,13.43
47789.5,14.35
47810.5,14.56
47840.5,14.81
47851.5,14.82
47872.5,14.98
47889.5,15.23
47960.5,15.45
47973.5,15.45
47997.5,15.68
