#A list of time, magnitude, and bands for 1987A.
event,time,magnitude,band
SN1987A,46849.44,6.36,V
SN1987A,46849.62,6.11,V
SN1987A,46850.45,4.89,B
SN1987A,46850.45,4.06,U
SN1987A,46850.45,4.81,V
SN1987A,46850.8,4.74,B
SN1987A,46850.8,4.29,I
SN1987A,46850.8,4.37,R
SN1987A,46850.8,3.95,U
SN1987A,46850.8,4.63,V
SN1987A,46850.82,4.74,B
SN1987A,46850.82,4.34,I
SN1987A,46850.82,4.4,R
SN1987A,46850.82,3.99,U
SN1987A,46850.82,4.62,V
SN1987A,46851.11,4.68,B
SN1987A,46851.11,4.63,V
SN1987A,46851.22,4.59,B
SN1987A,46851.22,4.84,B
SN1987A,46851.22,4.21,U
SN1987A,46851.22,4.57,V
SN1987A,46851.22,4.63,V
SN1987A,46851.87,4.75,B
SN1987A,46851.87,4.12,I
SN1987A,46851.87,4.21,R
SN1987A,46851.87,4.21,U
SN1987A,46851.87,4.52,V
SN1987A,46851.9,4.75,B
SN1987A,46851.9,4.12,I
SN1987A,46851.9,4.22,R
SN1987A,46851.9,4.23,U
SN1987A,46851.9,4.52,V
SN1987A,46852.04,4.65,B
SN1987A,46852.04,4.49,V
SN1987A,46852.17,4.71,B
SN1987A,46852.17,4.5,V
SN1987A,46852.18,4.72,B
SN1987A,46852.18,4.52,V
SN1987A,46852.24,4.8,B
SN1987A,46852.24,4.52,V
SN1987A,46852.78,4.84,B
SN1987A,46852.78,4.04,I
SN1987A,46852.78,4.16,R
SN1987A,46852.78,4.5,U
SN1987A,46852.78,4.49,V
SN1987A,46852.8,4.8,B
SN1987A,46852.8,4,I
SN1987A,46852.8,4.11,R
SN1987A,46852.8,4.49,U
SN1987A,46852.8,4.44,V
SN1987A,46852.86,4.81,B
SN1987A,46852.86,4,I
SN1987A,46852.86,4.1,R
SN1987A,46852.86,4.52,U
SN1987A,46852.86,4.45,V
SN1987A,46852.94,4.85,B
SN1987A,46852.94,4,I
SN1987A,46852.94,4.11,R
SN1987A,46852.94,4.58,U
SN1987A,46852.94,4.45,V
SN1987A,46853.0,4.83,B
SN1987A,46853.0,3.99,I
SN1987A,46853.0,4.14,R
SN1987A,46853.0,4.67,U
SN1987A,46853.0,4.43,V
SN1987A,46853.06,4.83,B
SN1987A,46853.06,4.59,U
SN1987A,46853.06,4.45,V
SN1987A,46853.08,4.83,B
SN1987A,46853.08,4.61,U
SN1987A,46853.08,4.46,V
SN1987A,46853.09,4.85,B
SN1987A,46853.09,4.64,U
SN1987A,46853.09,4.47,V
SN1987A,46853.93,4.95,B
SN1987A,46853.93,3.95,I
SN1987A,46853.93,4.05,R
SN1987A,46853.93,5.21,U
SN1987A,46853.93,4.43,V
SN1987A,46854.0,4.96,B
SN1987A,46854.0,3.92,I
SN1987A,46854.0,4.09,R
SN1987A,46854.0,5.26,U
SN1987A,46854.0,4.42,V
SN1987A,46854.06,4.95,B
SN1987A,46854.06,5.33,U
SN1987A,46854.06,4.48,V
SN1987A,46854.13,4.96,B
SN1987A,46854.13,5.35,U
SN1987A,46854.13,4.49,V
SN1987A,46854.2,4.96,B
SN1987A,46854.2,5.35,U
SN1987A,46854.2,4.43,V
SN1987A,46854.86,5.1,B
SN1987A,46854.86,3.91,I
SN1987A,46854.86,4.05,R
SN1987A,46854.86,5.76,U
SN1987A,46854.86,4.45,V
SN1987A,46855.03,5.11,B
SN1987A,46855.03,5.89,U
SN1987A,46855.03,4.46,V
SN1987A,46855.07,5.09,B
SN1987A,46855.07,5.87,U
SN1987A,46855.07,4.45,V
SN1987A,46855.14,5.18,B
SN1987A,46855.14,5.97,U
SN1987A,46855.14,4.5,V
SN1987A,46855.2,5.15,B
SN1987A,46855.2,5.18,B
SN1987A,46855.2,3.89,I
SN1987A,46855.2,4.09,R
SN1987A,46855.2,5.87,U
SN1987A,46855.2,5.98,U
SN1987A,46855.2,4.47,V
SN1987A,46855.2,4.5,V
SN1987A,46855.85,5.24,B
SN1987A,46855.85,3.88,I
SN1987A,46855.85,4.05,R
SN1987A,46855.85,6.19,U
SN1987A,46855.85,4.47,V
SN1987A,46856.02,5.26,B
SN1987A,46856.02,6.32,U
SN1987A,46856.02,4.5,V
SN1987A,46856.08,5.25,B
SN1987A,46856.08,6.31,U
SN1987A,46856.08,4.45,V
SN1987A,46856.1,5.26,B
SN1987A,46856.1,3.84,I
SN1987A,46856.1,4.08,R
SN1987A,46856.1,6.21,U
SN1987A,46856.1,4.45,V
SN1987A,46856.14,5.3,B
SN1987A,46856.14,6.38,U
SN1987A,46856.14,4.52,V
SN1987A,46856.19,5.32,B
SN1987A,46856.19,6.38,U
SN1987A,46856.19,4.52,V
SN1987A,46857.1,5.36,B
SN1987A,46857.1,3.78,I
SN1987A,46857.1,4.05,R
SN1987A,46857.1,6.51,U
SN1987A,46857.1,4.42,V
SN1987A,46857.12,5.4,B
SN1987A,46857.12,6.66,U
SN1987A,46857.12,4.51,V
SN1987A,46857.79,5.41,B
SN1987A,46857.79,3.79,I
SN1987A,46857.79,4,R
SN1987A,46857.79,6.74,U
SN1987A,46857.79,4.44,V
SN1987A,46857.8,5.41,B
SN1987A,46857.8,3.79,I
SN1987A,46857.8,4,R
SN1987A,46857.8,6.73,U
SN1987A,46857.8,4.44,V
SN1987A,46858.0,5.43,B
SN1987A,46858.0,3.73,I
SN1987A,46858.0,4.03,R
SN1987A,46858.0,6.74,U
SN1987A,46858.0,4.42,V
SN1987A,46858.12,5.46,B
SN1987A,46858.12,6.87,U
SN1987A,46858.12,4.47,V
SN1987A,46858.94,5.48,B
SN1987A,46858.94,3.72,I
SN1987A,46858.94,3.96,R
SN1987A,46858.94,6.93,U
SN1987A,46858.94,4.41,V
SN1987A,46859.0,5.49,B
SN1987A,46859.0,3.68,I
SN1987A,46859.0,3.97,R
SN1987A,46859.0,6.94,U
SN1987A,46859.0,4.39,V
SN1987A,46859.1,5.5,B
SN1987A,46859.1,3.82,I
SN1987A,46859.1,3.95,R
SN1987A,46859.1,7.05,U
SN1987A,46859.1,4.42,V
SN1987A,46859.48,5.51,B
SN1987A,46859.48,6.99,U
SN1987A,46859.48,4.36,V
SN1987A,46859.64,5.52,B
SN1987A,46859.64,6.9,U
SN1987A,46859.64,4.39,V
SN1987A,46859.77,5.55,B
SN1987A,46859.77,3.68,I
SN1987A,46859.77,3.94,R
SN1987A,46859.77,7.09,U
SN1987A,46859.77,4.4,V
SN1987A,46859.9,5.54,B
SN1987A,46859.9,3.67,I
SN1987A,46859.9,3.91,R
SN1987A,46859.9,7.09,U
SN1987A,46859.9,4.38,V
SN1987A,46860.0,5.54,B
SN1987A,46860.0,3.62,I
SN1987A,46860.0,3.94,R
SN1987A,46860.0,7.06,U
SN1987A,46860.0,4.36,V
SN1987A,46860.1,5.55,B
SN1987A,46860.1,3.76,I
SN1987A,46860.1,3.9,R
SN1987A,46860.1,7.18,U
SN1987A,46860.1,4.38,V
SN1987A,46860.76,5.57,B
SN1987A,46860.76,3.62,I
SN1987A,46860.76,3.89,R
SN1987A,46860.76,7.24,U
SN1987A,46860.76,4.36,V
SN1987A,46861.1,5.58,B
SN1987A,46861.1,4.35,V
SN1987A,46861.77,5.6,B
SN1987A,46861.77,3.56,I
SN1987A,46861.77,3.84,R
SN1987A,46861.77,7.32,U
SN1987A,46861.77,4.32,V
SN1987A,46862.1,5.64,B
SN1987A,46862.1,4.33,V
SN1987A,46862.9,5.62,B
SN1987A,46862.9,3.5,I
SN1987A,46862.9,3.81,R
SN1987A,46862.9,7.38,U
SN1987A,46862.9,4.3,V
SN1987A,46863.1,5.64,B
SN1987A,46863.1,5.65,B
SN1987A,46863.1,3.47,I
SN1987A,46863.1,3.61,I
SN1987A,46863.1,3.79,R
SN1987A,46863.1,3.8,R
SN1987A,46863.1,7.42,U
SN1987A,46863.1,7.46,U
SN1987A,46863.1,4.28,V
SN1987A,46863.1,4.3,V
SN1987A,46863.75,5.65,B
SN1987A,46863.75,3.47,I
SN1987A,46863.75,3.78,R
SN1987A,46863.75,7.47,U
SN1987A,46863.75,4.28,V
SN1987A,46864.1,5.66,B
SN1987A,46864.1,3.57,I
SN1987A,46864.1,3.76,R
SN1987A,46864.1,7.51,U
SN1987A,46864.1,4.28,V
SN1987A,46864.75,5.66,B
SN1987A,46864.75,3.41,I
SN1987A,46864.75,3.75,R
SN1987A,46864.75,7.53,U
SN1987A,46864.75,4.27,V
SN1987A,46865.0,5.7,B
SN1987A,46865.0,3.39,I
SN1987A,46865.0,3.73,R
SN1987A,46865.0,7.58,U
SN1987A,46865.0,4.25,V
SN1987A,46865.1,5.68,B
SN1987A,46865.1,3.52,I
SN1987A,46865.1,3.72,R
SN1987A,46865.1,7.57,U
SN1987A,46865.1,4.26,V
SN1987A,46865.75,5.67,B
SN1987A,46865.75,3.36,I
SN1987A,46865.75,3.72,R
SN1987A,46865.75,7.58,U
SN1987A,46865.75,4.25,V
SN1987A,46866.1,5.69,B
SN1987A,46866.1,3.46,I
SN1987A,46866.1,3.69,R
SN1987A,46866.1,7.62,U
SN1987A,46866.1,4.23,V
SN1987A,46866.75,5.69,B
SN1987A,46866.75,3.33,I
SN1987A,46866.75,3.68,R
SN1987A,46866.75,7.61,U
SN1987A,46866.75,4.23,V
SN1987A,46866.91,5.69,B
SN1987A,46866.91,3.33,I
SN1987A,46866.91,3.68,R
SN1987A,46866.91,7.61,U
SN1987A,46866.91,4.23,V
SN1987A,46867.75,5.68,B
SN1987A,46867.75,3.27,I
SN1987A,46867.75,3.66,R
SN1987A,46867.75,7.66,U
SN1987A,46867.75,4.22,V
SN1987A,46868.1,5.67,B
SN1987A,46868.1,3.3,I
SN1987A,46868.1,3.56,R
SN1987A,46868.1,7.62,U
SN1987A,46868.1,4.18,V
SN1987A,46869.1,5.72,B
SN1987A,46869.1,3.36,I
SN1987A,46869.1,3.61,R
SN1987A,46869.1,7.76,U
SN1987A,46869.1,4.2,V
SN1987A,46870.1,5.69,B
SN1987A,46870.1,5.71,B
SN1987A,46870.1,3.3,I
SN1987A,46870.1,3.58,R
SN1987A,46870.1,7.73,U
SN1987A,46870.1,7.79,U
SN1987A,46870.1,4.18,V
SN1987A,46870.1,4.19,V
SN1987A,46870.77,5.69,B
SN1987A,46870.77,3.16,I
SN1987A,46870.77,3.56,R
SN1987A,46870.77,7.74,U
SN1987A,46870.77,4.18,V
SN1987A,46871.75,5.68,B
SN1987A,46871.75,3.14,I
SN1987A,46871.75,3.53,R
SN1987A,46871.75,7.76,U
SN1987A,46871.75,4.16,V
SN1987A,46872.75,5.67,B
SN1987A,46872.75,3.11,I
SN1987A,46872.75,3.5,R
SN1987A,46872.75,7.78,U
SN1987A,46872.75,4.13,V
SN1987A,46873.1,5.66,B
SN1987A,46873.1,5.68,B
SN1987A,46873.1,3.17,I
SN1987A,46873.1,3.47,R
SN1987A,46873.1,7.74,U
SN1987A,46873.1,4.12,V
SN1987A,46873.1,4.13,V
SN1987A,46873.75,5.66,B
SN1987A,46873.75,3.06,I
SN1987A,46873.75,3.45,R
SN1987A,46873.75,7.78,U
SN1987A,46873.75,4.1,V
SN1987A,46873.88,5.67,B
SN1987A,46873.88,3.05,I
SN1987A,46873.88,3.46,R
SN1987A,46873.88,7.77,U
SN1987A,46873.88,4.11,V
SN1987A,46874.1,5.65,B
SN1987A,46874.1,5.7,B
SN1987A,46874.1,3.14,I
SN1987A,46874.1,3.44,R
SN1987A,46874.1,7.76,U
SN1987A,46874.1,7.8,U
SN1987A,46874.1,4.1,V
SN1987A,46874.1,4.12,V
SN1987A,46874.75,5.65,B
SN1987A,46874.75,3.03,I
SN1987A,46874.75,3.42,R
SN1987A,46874.75,7.8,U
SN1987A,46874.75,4.09,V
SN1987A,46875.1,5.64,B
SN1987A,46875.1,5.69,B
SN1987A,46875.1,3.1,I
SN1987A,46875.1,3.4,R
SN1987A,46875.1,7.75,U
SN1987A,46875.1,7.78,U
SN1987A,46875.1,4.08,V
SN1987A,46875.1,4.09,V
SN1987A,46875.75,5.65,B
SN1987A,46875.75,3,I
SN1987A,46875.75,3.4,R
SN1987A,46875.75,7.8,U
SN1987A,46875.75,4.07,V
SN1987A,46876.1,5.61,B
SN1987A,46876.1,5.68,B
SN1987A,46876.1,2.91,I
SN1987A,46876.1,3.08,I
SN1987A,46876.1,3.38,R
SN1987A,46876.1,3.39,R
SN1987A,46876.1,7.74,U
SN1987A,46876.1,7.77,U
SN1987A,46876.1,4.07,V
SN1987A,46876.1,4.08,V
SN1987A,46876.74,5.64,B
SN1987A,46876.74,2.98,I
SN1987A,46876.74,3.39,R
SN1987A,46876.74,7.79,U
SN1987A,46876.74,4.06,V
SN1987A,46877.75,5.61,B
SN1987A,46877.75,2.95,I
SN1987A,46877.75,3.35,R
SN1987A,46877.75,7.8,U
SN1987A,46877.75,4.04,V
SN1987A,46878.76,5.59,B
SN1987A,46878.76,2.92,I
SN1987A,46878.76,3.31,R
SN1987A,46878.76,7.78,U
SN1987A,46878.76,4.01,V
SN1987A,46879.75,5.58,B
