time,magnitude
46850.45,4.89
46850.8,4.74
46850.82,4.74
46851.11,4.68
46851.22,4.59
46851.22,4.84
46851.87,4.75
46851.9,4.75
46852.04,4.65
46852.17,4.71
46852.18,4.72
46852.24,4.8
46852.78,4.84
46852.8,4.8
46852.86,4.81
46852.94,4.85
46853.0,4.83
46853.06,4.83
46853.08,4.83
46853.09,4.85
46853.93,4.95
46854.0,4.96
46854.06,4.95
46854.13,4.96
46854.2,4.96
46854.86,5.1
46855.03,5.11
46855.07,5.09
46855.14,5.18
46855.2,5.15
46855.2,5.18
46855.85,5.24
46856.02,5.26
46856.08,5.25
46856.1,5.26
46856.14,5.3
46856.19,5.32
46857.1,5.36
46857.12,5.4
46857.79,5.41
46857.8,5.41
46858.0,5.43
46858.12,5.46
46858.94,5.48
46859.0,5.49
46859.1,5.5
46859.48,5.51
46859.64,5.52
46859.77,5.55
46859.9,5.54
46860.0,5.54
46860.1,5.55
46860.76,5.57
46861.1,5.58
46861.77,5.6
46862.1,5.64
46862.9,5.62
46863.1,5.64
46863.1,5.65
46863.75,5.65
46864.1,5.66
46864.75,5.66
46865.0,5.7
46865.1,5.68
46865.75,5.67
46866.1,5.69
46866.75,5.69
46866.91,5.69
46867.75,5.68
46868.1,5.67
46869.1,5.72
46870.1,5.69
46870.1,5.71
46870.77,5.69
46871.75,5.68
46872.75,5.67
46873.1,5.66
46873.1,5.68
46873.75,5.66
46873.88,5.67
46874.1,5.65
46874.1,5.7
46874.75,5.65
46875.1,5.64
46875.1,5.69
46875.75,5.65
46876.1,5.61
46876.1,5.68
46876.74,5.64
46877.75,5.61
46878.76,5.59
46879.75,5.58
46880.75,5.56
46881.74,5.54
46883.81,5.48
46884.75,5.46
46885.83,5.45
46885.84,5.45
46886.75,5.4
46887.74,5.39
46889.81,5.32
46890.89,5.25
46891.75,5.25
46892.84,5.22
46893.75,5.21
46894.75,5.19
46896.75,5.13
46897.75,5.09
46898.74,5.07
46901.4,4.93
46902.74,4.95
46902.74,4.9520
46903.44,4.86
46903.84,4.91
46903.84,4.9110
46904.0,4.95
46905.46,4.77
46905.79,4.8600
46905.79,4.86
46906.46,4.79
46906.74,4.8500
46906.74,4.85
46908.73,4.79
46908.73,4.7930
46909.73,4.77
46909.73,4.7710
46910.47,4.72
46910.74,4.7460
46910.74,4.75
46911.73,4.7490
46911.73,4.75
46913.73,4.7100
46913.73,4.71
46915.74,4.6000
46915.74,4.6
46916.72,4.6300
46916.72,4.63
46917.73,4.6500
46917.73,4.65
46918.72,4.6200
46918.72,4.62
46922.72,4.57
46922.73,4.5720
46923.75,4.5300
46923.75,4.53
46924.76,4.5300
46924.76,4.53
46929.79,4.5300
46929.8,4.53
46931.72,4.53
46931.72,4.5330
46933.71,4.5470
46933.71,4.55
46934.72,4.54
46934.73,4.5380
46935.71,4.54
46935.71,4.5440
46940.71,4.54
46940.71,4.5420
46941.72,4.5520
46941.72,4.57
46942.7,4.61
46942.70,4.6110
46946.71,4.7
46946.71,4.7040
46948.71,4.7790
46948.71,4.78
46951.69,4.9100
46951.7,4.91
46953.69,5.0070
46953.69,5.01
46954.7,5.07
46954.70,5.0740
46958.70,5.2790
46958.7,5.28
46960.70,5.4270
46960.7,5.43
46961.69,5.4870
46961.69,5.49
46964.71,5.6660
46964.71,5.67
46965.17,5.7070
46965.17,5.71
46965.7,5.73
46965.70,5.7310
46966.17,5.7560
46966.17,5.76
46966.70,5.7890
46966.7,5.79
46967.17,5.7990
46967.17,5.8
46967.69,5.83
46967.69,5.8330
46970.18,5.91
46970.18,5.9140
46971.71,5.94
46971.72,5.9400
46975.18,6
46975.18,6.0050
46977.70,6.0490
46977.7,6.05
46979.71,6.0660
46979.71,6.07
46980.18,6.0790
46980.18,6.08
46980.70,6.0780
