time,magnitude
46850.8,4.29
46850.82,4.34
46851.87,4.12
46851.9,4.12
46852.78,4.04
46852.8,4
46852.86,4
46852.94,4
46853.0,3.99
46853.93,3.95
46854.0,3.92
46854.86,3.91
46855.2,3.89
46855.85,3.88
46856.1,3.84
46857.1,3.78
46857.79,3.79
46857.8,3.79
46858.0,3.73
46858.94,3.72
46859.0,3.68
46859.1,3.82
46859.77,3.68
46859.9,3.67
46860.0,3.62
46860.1,3.76
46860.76,3.62
46861.77,3.56
46862.9,3.5
46863.1,3.47
46863.1,3.61
46863.75,3.47
46864.1,3.57
46864.75,3.41
46865.0,3.39
46865.1,3.52
46865.75,3.36
46866.1,3.46
46866.75,3.33
46866.91,3.33
46867.75,3.27
46868.1,3.3
46869.1,3.36
46870.1,3.3
46870.77,3.16
46871.75,3.14
46872.75,3.11
46873.1,3.17
46873.75,3.06
46873.88,3.05
46874.1,3.14
46874.75,3.03
46875.1,3.1
46875.75,3
46876.1,2.91
46876.1,3.08
46876.74,2.98
46877.75,2.95
46878.76,2.92
46879.75,2.9
46880.75,2.87
46881.74,2.84
46883.81,2.79
46884.75,2.76
46885.83,2.75
46885.84,2.74
46886.75,2.7
46887.74,2.68
46889.81,2.61
46890.89,2.57
46891.75,2.54
46892.84,2.53
46893.75,2.5
46894.75,2.48
46896.75,2.42
46897.75,2.4
46898.74,2.38
46900.74,2.3080
46900.74,2.31
46901.73,2.27
46901.73,2.2750
46902.74,2.2560
46902.74,2.26
46903.84,2.2190
46903.84,2.22
46904.0,2.33
46905.79,2.1880
46905.79,2.19
46906.74,2.1660
46906.74,2.17
46908.73,2.1270
46908.73,2.13
46909.73,2.0990
46909.73,2.1
46910.74,2.08
46910.74,2.0840
46911.73,2.0780
46911.73,2.08
46913.73,2.0900
46913.73,2.09
46915.74,2.0100
46915.74,2.01
46916.72,2.0200
46916.72,2.02
46917.73,2.0400
46917.73,2.04
46918.72,1.9900
46918.72,1.99
46922.72,1.96
46922.73,1.9560
46923.75,1.9200
46923.75,1.92
46924.76,1.9100
46924.76,1.91
46929.79,1.9200
46929.8,1.92
46931.72,1.93
