#A list of time and magnitude for the U band of 1987A.
time,magnitude
46850.45,4.06
46850.8,3.95
46850.82,3.99
46851.22,4.21
46851.87,4.21
46851.9,4.23
46852.78,4.5
46852.8,4.49
46852.86,4.52
46852.94,4.58
46853.0,4.67
46853.06,4.59
46853.08,4.61
46853.09,4.64
46853.93,5.21
46854.0,5.26
46854.06,5.33
46854.13,5.35
46854.2,5.35
46854.86,5.76
46855.03,5.89
46855.07,5.87
46855.14,5.97
46855.2,5.87
46855.2,5.98
46855.85,6.19
46856.02,6.32
46856.08,6.31
46856.1,6.21
46856.14,6.38
46856.19,6.38
46857.1,6.51
46857.12,6.66
46857.79,6.74
46857.8,6.73
46858.0,6.74
46858.12,6.87
46858.94,6.93
46859.0,6.94
46859.1,7.05
46859.48,6.99
46859.64,6.9
46859.77,7.09
46859.9,7.09
46860.0,7.06
46860.1,7.18
46860.76,7.24
46861.77,7.32
46862.9,7.38
46863.1,7.42
46863.1,7.46
46863.75,7.47
46864.1,7.51
46864.75,7.53
46865.0,7.58
46865.1,7.57
46865.75,7.58
46866.1,7.62
46866.75,7.61
46866.91,7.61
46867.75,7.66
46868.1,7.62
46869.1,7.76
46870.1,7.73
46870.1,7.79
46870.77,7.74
46871.75,7.76
46872.75,7.78
46873.1,7.74
46873.75,7.78
46873.88,7.77
46874.1,7.76
46874.1,7.8
46874.75,7.8
46875.1,7.75
46875.1,7.78
46875.75,7.8
46876.1,7.74
46876.1,7.77
46876.74,7.79
46877.75,7.8
46878.76,7.78
46879.75,7.81
46880.75,7.8
46881.74,7.8
46883.81,7.78
46884.75,7.79
46885.83,7.74
46885.84,7.75
46886.75,7.77
46887.74,7.78
46889.81,7.75
46890.89,7.71
46891.75,7.77
46892.84,7.75
46893.75,7.76
46894.75,7.75
46896.75,7.71
46897.75,7.68
46898.74,7.66
46902.74,7.5760
46902.74,7.58
46903.84,7.5180
46903.84,7.52
46904.0,7.6
46905.79,7.47
46905.79,7.4720
46906.74,7.47
46906.74,7.4730
46908.73,7.4
46908.73,7.4010
46909.73,7.3790
46909.73,7.38
46910.74,7.3430
46910.74,7.35
46911.73,7.34
46911.73,7.3410
46915.74,7.1500
46915.74,7.15
46916.72,7.1900
46916.72,7.19
46917.73,7.2000
46917.73,7.2
46918.72,7.1700
46918.72,7.17
46922.72,7.09
46922.73,7.0950
46923.75,7.0800
46923.75,7.08
46924.76,7.0500
46924.76,7.05
46929.79,7.0400
46929.8,7.04
46931.72,7.0560
46931.72,7.06
46933.71,7.06
46933.71,7.0630
46934.72,7.04
46934.73,7.0380
46935.71,7.0550
46935.71,7.06
46940.71,7.0560
46940.71,7.06
46941.72,7.0590
46941.72,7.08
46942.70,7.1180
46942.7,7.12
46946.71,7.1990
46946.71,7.2
46948.71,7.27
46948.71,7.2740
46951.69,7.4020
46951.7,7.4
46953.69,7.5080
46953.69,7.51
46954.70,7.5800
46954.7,7.58
46958.7,7.81
46958.70,7.8110
46960.70,7.9570
46960.7,7.96
46961.69,7.98
46961.69,7.9820
46964.71,8.2
46964.71,8.2050
46965.17,8.23
46965.17,8.2320
46965.7,8.26
46965.70,8.2640
46966.17,8.3
46966.17,8.3040
46966.7,8.33
46966.70,8.3330
46967.17,8.3690
46967.17,8.37
46967.69,8.38
46967.69,8.3850
46970.18,8.5390
46970.18,8.54
46971.71,8.53
46971.72,8.5300
46975.18,8.63
46975.18,8.6340
46977.70,8.6360
46977.7,8.64
46979.71,8.6460
46979.71,8.65
46980.18,8.6690
46980.18,8.67
46980.7,8.65
46980.70,8.6510
46981.18,8.6760
46981.71,8.6660
46981.71,8.67
46982.70,8.6280
46982.7,8.63
46983.18,8.6860
46983.18,8.69
46984.17,8.71
46985.18,8.7
46986.19,8.7
46989.16,8.68
46990.1,8.69
46991.18,8.69
46997.18,8.72
46998.17,8.71
46999.17,8.7
47000.16,8.72
47005.15,8.68
47006.14,8.71
47007.14,8.71
47009.14,8.72
47013.16,8.75
47014.17,8.72
47020.03,8.71
47021.07,8.71
47021.17,8.71
47022.05,8.72
47023.16,8.72
47025.07,8.7
47025.16,8.71
47027.16,8.74
47028.16,8.74
47031.12,8.73
47031.13,8.73
47033.11,8.72
47034.1,8.73
47037.38,8.1600
47037.39,8.1700
47037.40,8.7500
47040.16,8.71
47041.04,8.7
47041.37,8.7600
47041.39,8.7500
47042.99,8.71
47044.04,8.71
47044.13,8.1600
47044.33,8.7600
47044.34,8.7500
47044.97,8.69
47046.0,8.71
47047.03,8.71
47047.33,8.7300
47047.34,8.7500
47047.35,8.7400
47048.17,8.74
47049.05,8.71
47050.28,8.7300
47050.28,8.7500
47050.29,8.7300
47052.11,8.68
47054.13,8.69
47054.27,8.7400
47054.28,8.7500
47054.29,8.7600
47055.07,8.69
47056.12,8.73
47063.12,8.69
47064.29,8.7600
47064.30,8.7400
47064.31,8.7500
47068.01,8.69
47069.99,8.69
47071.06,8.69
47072.12,8.69
47073.12,8.69
47074.02,8.68
47075.02,8.69
47077.02,8.7
47078.01,8.69
47080.08,8.68
47081.04,8.68
47082.12,8.7
47084.98,8.69
47086.02,8.67
47087.30,8.7400
47087.30,8.7500
47087.31,8.7000
47089.22,8.7300
47089.23,8.7300
47090.07,8.67
47095.25,8.7300
47095.26,8.7400
47095.87,8.68
47096.31,8.7400
47096.33,8.7200
47098.01,8.68
47098.87,8.68
47099.97,8.69
47100.98,8.68
47101.94,8.68
47102.94,8.69
47103.23,8.7200
47103.25,8.7300
47103.26,8.7400
47104.01,8.68
47104.94,8.68
47105.87,8.69
47106.29,8.7300
47106.30,8.7300
47107.08,8.69
47107.98,8.66
47109.01,8.68
47109.85,8.69
47110.12,8.7200
47110.13,8.7200
47110.14,8.7500
47112.79,8.69
47113.07,8.68
47113.79,8.69
47114.1,8.7
47114.87,8.69
47115.83,8.69
47117.18,8.7200
47117.19,8.7400
47117.21,8.7200
47117.93,8.7
47118.77,8.68
47119.89,8.7
47120.97,8.7
47121.27,8.7300
47121.28,8.7200
47121.96,8.69
47122.79,8.72
47122.97,8.7
47123.25,8.1300
47123.26,8.7300
47123.82,8.69
47124.02,8.69
47124.86,8.69
47125.95,8.7
47126.94,8.7
47128.84,8.69
47129.0,8.69
47130.23,8.7300
47130.24,8.7400
47130.26,8.7300
47130.87,8.69
47131.98,8.7
47132.92,8.7
47134.93,8.7
47135.19,8.7300
47135.20,8.7300
47135.89,8.72
47137.96,8.71
47140.84,8.71
47140.86,8.71
47141.89,8.7
47142.31,8.7300
47142.32,8.7500
47142.85,8.7
47143.86,8.71
47143.98,8.72
47144.78,8.67
47145.16,8.7500
47145.18,8.7600
47145.19,8.7500
47146.83,8.71
47147.13,8.7600
47147.15,8.7800
47147.79,8.69
47148.86,8.71
47151.15,8.7600
47151.16,8.7600
47151.17,8.7400
47151.84,8.72
47151.94,8.72
47152.93,8.72
47154.01,8.72
47154.94,8.72
47155.82,8.74
47156.83,8.73
47157.81,8.72
47158.14,8.7500
47158.15,8.7600
47158.16,8.7600
47158.84,8.74
47159.88,8.73
47162.08,8.72
47162.87,8.73
47163.9,8.73
47164.89,8.74
47165.9,8.74
47166.10,8.7800
47166.11,8.7600
47166.12,8.7600
47166.94,8.75
47167.87,8.75
47168.99,8.75
47169.81,8.76
47170.79,8.75
47171.11,8.7800
47171.12,8.7700
47171.13,8.7800
47171.9,8.75
47172.88,8.75
47173.9,8.76
47174.9,8.76
47175.8,8.77
47176.82,8.77
47177.88,8.79
47178.10,8.7800
47178.11,8.8100
47178.12,8.8300
47180.09,8.7900
