time,magnitude
46849.44,6.36
46849.62,6.11
46850.45,4.81
46850.8,4.63
46850.82,4.62
46851.11,4.63
46851.22,4.57
46851.22,4.63
46851.87,4.52
46851.9,4.52
46852.04,4.49
46852.17,4.5
46852.18,4.52
46852.24,4.52
46852.78,4.49
46852.8,4.44
46852.86,4.45
46852.94,4.45
46853.0,4.43
46853.06,4.45
46853.08,4.46
46853.09,4.47
46853.93,4.43
46854.0,4.42
46854.06,4.48
46854.13,4.49
46854.2,4.43
46854.86,4.45
46855.03,4.46
46855.07,4.45
46855.14,4.5
46855.2,4.47
46855.2,4.5
46855.85,4.47
46856.02,4.5
46856.08,4.45
46856.1,4.45
46856.14,4.52
46856.19,4.52
46857.1,4.42
46857.12,4.51
46857.79,4.44
46857.8,4.44
46858.0,4.42
46858.12,4.47
46858.94,4.41
46859.0,4.39
46859.1,4.42
46859.48,4.36
46859.64,4.39
46859.77,4.4
46859.9,4.38
46860.0,4.36
46860.1,4.38
46860.76,4.36
46861.1,4.35
46861.77,4.32
46862.1,4.33
46862.9,4.3
46863.1,4.28
46863.1,4.3
46863.75,4.28
46864.1,4.28
46864.75,4.27
46865.0,4.25
46865.1,4.26
46865.75,4.25
46866.1,4.23
46866.75,4.23
46866.91,4.23
46867.75,4.22
46868.1,4.18
46869.1,4.2
46870.1,4.18
46870.1,4.19
46870.77,4.18
46871.75,4.16
46872.75,4.13
46873.1,4.12
46873.1,4.13
46873.75,4.1
46873.88,4.11
46874.1,4.1
46874.1,4.12
46874.75,4.09
46875.1,4.08
46875.1,4.09
46875.75,4.07
46876.1,4.07
46876.1,4.08
46876.74,4.06
46877.75,4.04
46878.76,4.01
46879.75,3.99
46880.75,3.97
46881.74,3.94
46883.81,3.88
46884.75,3.86
46885.83,3.82
46885.84,3.81
46886.75,3.79
46887.74,3.76
46889.81,3.71
46890.89,3.66
46891.75,3.63
46892.84,3.59
46893.75,3.58
46894.75,3.54
46896.75,3.49
46897.75,3.47
46898.74,3.43
46900.74,3.34
46900.74,3.3430
46901.4,3.24
46901.73,3.33
46901.73,3.3350
46902.74,3.32
46902.74,3.3240
46903.44,3.19
46903.84,3.28
46903.84,3.2850
46904.0,3.3
46905.46,3.15
46905.79,3.25
46905.79,3.2520
46906.46,3.15
46906.74,3.2290
46906.74,3.23
46908.73,3.1780
46908.73,3.18
46909.73,3.1580
46909.73,3.16
46910.47,3.12
46910.74,3.1400
46910.74,3.14
46911.73,3.1290
46911.73,3.13
46913.73,3.1100
46913.73,3.11
46915.74,3.0300
46915.74,3.03
46916.72,3.0400
46916.72,3.04
46917.73,3.0400
46917.73,3.04
46918.72,3.0300
46918.72,3.03
46922.72,3
46922.73,2.9980
46923.75,2.9600
46923.75,2.96
46924.76,2.9500
46924.76,2.95
46929.79,2.9600
46929.8,2.96
46931.72,2.96
46931.72,2.9630
46933.71,2.96
46933.71,2.9650
46934.72,2.96
46934.73,2.9640
46935.71,2.97
46935.71,2.9740
46940.71,2.9800
46940.71,2.98
46941.72,2.9620
46941.72,2.98
46942.7,3.02
46942.70,3.0240
46946.71,3.11
46946.71,3.1130
46948.71,3.1460
46948.71,3.15
46951.69,3.2680
46951.7,3.27
46953.69,3.34
46953.69,3.3450
46954.70,3.3970
46954.7,3.4
46958.7,3.59
46958.70,3.5930
46960.70,3.7470
46960.7,3.75
46961.69,3.7770
46961.69,3.78
