event,time,magnitude,band
SN1987A,46850.45,4.89,B
SN1987A,46850.8,4.74,B
SN1987A,46850.82,4.74,B
SN1987A,46851.11,4.68,B
SN1987A,46851.22,4.59,B
SN1987A,46851.22,4.84,B
SN1987A,46851.87,4.75,B
SN1987A,46851.9,4.75,B
SN1987A,46852.04,4.65,B
SN1987A,46852.17,4.71,B
SN1987A,46852.18,4.72,B
SN1987A,46852.24,4.8,B
SN1987A,46852.78,4.84,B
SN1987A,46852.8,4.8,B
SN1987A,46852.86,4.81,B
SN1987A,46852.94,4.85,B
SN1987A,46853.0,4.83,B
SN1987A,46853.06,4.83,B
SN1987A,46853.08,4.83,B
SN1987A,46853.09,4.85,B
SN1987A,46853.93,4.95,B
SN1987A,46854.0,4.96,B
SN1987A,46854.06,4.95,B
SN1987A,46854.13,4.96,B
SN1987A,46854.2,4.96,B
SN1987A,46854.86,5.1,B
SN1987A,46855.03,5.11,B
SN1987A,46855.07,5.09,B
SN1987A,46855.14,5.18,B
SN1987A,46855.2,5.15,B
SN1987A,46855.2,5.18,B
SN1987A,46855.85,5.24,B
SN1987A,46856.02,5.26,B
SN1987A,46856.08,5.25,B
SN1987A,46856.1,5.26,B
SN1987A,46856.14,5.3,B
SN1987A,46856.19,5.32,B
SN1987A,46857.1,5.36,B
SN1987A,46857.12,5.4,B
SN1987A,46857.79,5.41,B
SN1987A,46857.8,5.41,B
SN1987A,46858.0,5.43,B
SN1987A,46858.12,5.46,B
SN1987A,46858.94,5.48,B
SN1987A,46859.0,5.49,B
SN1987A,46859.1,5.5,B
SN1987A,46859.48,5.51,B
SN1987A,46859.64,5.52,B
SN1987A,46859.77,5.55,B
SN1987A,46859.9,5.54,B
SN1987A,46860.0,5.54,B
SN1987A,46860.1,5.55,B
SN1987A,46860.76,5.57,B
SN1987A,46861.1,5.58,B
SN1987A,46861.77,5.6,B
SN1987A,46862.1,5.64,B
SN1987A,46862.9,5.62,B
SN1987A,46863.1,5.64,B
SN1987A,46863.1,5.65,B
SN1987A,46863.75,5.65,B
SN1987A,46864.1,5.66,B
SN1987A,46864.75,5.66,B
SN1987A,46865.0,5.7,B
SN1987A,46865.1,5.68,B
SN1987A,46865.75,5.67,B
SN1987A,46866.1,5.69,B
SN1987A,46866.75,5.69,B
SN1987A,46866.91,5.69,B
SN1987A,46867.75,5.68,B
SN1987A,46868.1,5.67,B
SN1987A,46869.1,5.72,B
SN1987A,46870.1,5.69,B
SN1987A,46870.1,5.71,B
SN1987A,46870.77,5.69,B
SN1987A,46871.75,5.68,B
SN1987A,46872.75,5.67,B
SN1987A,46873.1,5.66,B
SN1987A,46873.1,5.68,B
SN1987A,46873.75,5.66,B
SN1987A,46873.88,5.67,B
SN1987A,46874.1,5.65,B
SN1987A,46874.1,5.7,B
SN1987A,46874.75,5.65,B
SN1987A,46875.1,5.64,B
SN1987A,46875.1,5.69,B
SN1987A,46875.75,5.65,B
SN1987A,46876.1,5.61,B
SN1987A,46876.1,5.68,B
SN1987A,46876.74,5.64,B
SN1987A,46877.75,5.61,B
SN1987A,46878.76,5.59,B
SN1987A,46879.75,5.58,B
SN1987A,46880.75,5.56,B
SN1987A,46881.74,5.54,B
SN1987A,46883.81,5.48,B
SN1987A,46884.75,5.46,B
SN1987A,46885.83,5.45,B
SN1987A,46885.84,5.45,B
SN1987A,46886.75,5.4,B
SN1987A,46887.74,5.39,B
SN1987A,46889.81,5.32,B
