event,time,magnitude,band
SN1987A,46850.8,4.29,I
SN1987A,46850.82,4.34,I
SN1987A,46851.87,4.12,I
SN1987A,46851.9,4.12,I
SN1987A,46852.78,4.04,I
SN1987A,46852.8,4,I
SN1987A,46852.86,4,I
SN1987A,46852.94,4,I
SN1987A,46853.0,3.99,I
SN1987A,46853.93,3.95,I
SN1987A,46854.0,3.92,I
SN1987A,46854.86,3.91,I
SN1987A,46855.2,3.89,I
SN1987A,46855.85,3.88,I
SN1987A,46856.1,3.84,I
SN1987A,46857.1,3.78,I
SN1987A,46857.79,3.79,I
SN1987A,46857.8,3.79,I
SN1987A,46858.0,3.73,I
SN1987A,46858.94,3.72,I
SN1987A,46859.0,3.68,I
SN1987A,46859.1,3.82,I
SN1987A,46859.77,3.68,I
SN1987A,46859.9,3.67,I
SN1987A,46860.0,3.62,I
SN1987A,46860.1,3.76,I
SN1987A,46860.76,3.62,I
SN1987A,46861.77,3.56,I
SN1987A,46862.9,3.5,I
SN1987A,46863.1,3.47,I
SN1987A,46863.1,3.61,I
SN1987A,46863.75,3.47,I
SN1987A,46864.1,3.57,I
SN1987A,46864.75,3.41,I
SN1987A,46865.0,3.39,I
SN1987A,46865.1,3.52,I
SN1987A,46865.75,3.36,I
SN1987A,46866.1,3.46,I
SN1987A,46866.75,3.33,I
SN1987A,46866.91,3.33,I
SN1987A,46867.75,3.27,I
SN1987A,46868.1,3.3,I
SN1987A,46869.1,3.36,I
SN1987A,46870.1,3.3,I
SN1987A,46870.77,3.16,I
SN1987A,46871.75,3.14,I
SN1987A,46872.75,3.11,I
SN1987A,46873.1,3.17,I
SN1987A,46873.75,3.06,I
SN1987A,46873.88,3.05,I
SN1987A,46874.1,3.14,I
SN1987A,46874.75,3.03,I
SN1987A,46875.1,3.1,I
SN1987A,46875.75,3,I
SN1987A,46876.1,2.91,I
SN1987A,46876.1,3.08,I
SN1987A,46876.74,2.98,I
SN1987A,46877.75,2.95,I
SN1987A,46878.76,2.92,I
SN1987A,46879.75,2.9,I
SN1987A,46880.75,2.87,I
SN1987A,46881.74,2.84,I
SN1987A,46883.81,2.79,I
SN1987A,46884.75,2.76,I
SN1987A,46885.83,2.75,I
SN1987A,46885.84,2.74,I
SN1987A,46886.75,2.7,I
SN1987A,46887.74,2.68,I
SN1987A,46889.81,2.61,I
SN1987A,46890.89,2.57,I
SN1987A,46891.75,2.54,I
SN1987A,46892.84,2.53,I
SN1987A,46893.75,2.5,I
SN1987A,46894.75,2.48,I
SN1987A,46896.75,2.42,I
SN1987A,46897.75,2.4,I
SN1987A,46898.74,2.38,I
SN1987A,46900.74,2.3080,I
SN1987A,46900.74,2.31,I
SN1987A,46901.73,2.27,I
SN1987A,46901.73,2.2750,I
SN1987A,46902.74,2.2560,I
SN1987A,46902.74,2.26,I
SN1987A,46903.84,2.2190,I
SN1987A,46903.84,2.22,I
SN1987A,46904.0,2.33,I
SN1987A,46905.79,2.1880,I
SN1987A,46905.79,2.19,I
SN1987A,46906.74,2.1660,I
SN1987A,46906.74,2.17,I
SN1987A,46908.73,2.1270,I
SN1987A,46908.73,2.13,I
SN1987A,46909.73,2.0990,I
SN1987A,46909.73,2.1,I
SN1987A,46910.74,2.08,I
SN1987A,46910.74,2.0840,I
SN1987A,46911.73,2.0780,I
SN1987A,46911.73,2.08,I
SN1987A,46913.73,2.0900,I
SN1987A,46913.73,2.09,I
SN1987A,46915.74,2.0100,I
SN1987A,46915.74,2.01,I
SN1987A,46916.72,2.0200,I
SN1987A,46916.72,2.02,I
SN1987A,46917.73,2.0400,I
SN1987A,46917.73,2.04,I
SN1987A,46918.72,1.9900,I
SN1987A,46918.72,1.99,I
SN1987A,46922.72,1.96,I
SN1987A,46922.73,1.9560,I
SN1987A,46923.75,1.9200,I
SN1987A,46923.75,1.92,I
SN1987A,46924.76,1.9100,I
SN1987A,46924.76,1.91,I
SN1987A,46929.79,1.9200,I
SN1987A,46929.8,1.92,I
SN1987A,46931.72,1.93,I
SN1987A,46931.72,1.9350,I
SN1987A,46933.71,1.9,I
SN1987A,46933.71,1.9050,I
SN1987A,46934.72,1.91,I
SN1987A,46934.73,1.9090,I
SN1987A,46935.71,1.9090,I
SN1987A,46935.71,1.91,I
SN1987A,46940.71,1.9160,I
SN1987A,46940.71,1.92,I
SN1987A,46941.72,1.9220,I
SN1987A,46941.72,1.94,I
SN1987A,46942.7,1.92,I
SN1987A,46942.70,1.9230,I
SN1987A,46946.71,1.9580,I
SN1987A,46946.71,1.96,I
SN1987A,46948.71,2.0060,I
SN1987A,46948.71,2.01,I
SN1987A,46951.69,2.0610,I
SN1987A,46951.7,2.06,I
SN1987A,46953.69,2.1300,I
SN1987A,46953.69,2.13,I
SN1987A,46954.7,2.17,I
SN1987A,46954.70,2.1730,I
SN1987A,46958.7,2.32,I
SN1987A,46958.70,2.3210,I
SN1987A,46960.70,2.4190,I
SN1987A,46960.7,2.42,I
SN1987A,46961.69,2.5,I
SN1987A,46961.69,2.5010,I
SN1987A,46964.71,2.57,I
SN1987A,46964.71,2.5730,I
SN1987A,46965.17,2.64,I
SN1987A,46965.17,2.6440,I
SN1987A,46965.70,2.6600,I
SN1987A,46965.7,2.66,I
SN1987A,46966.17,2.67,I
SN1987A,46966.17,2.6730,I
SN1987A,46966.7,2.7,I
SN1987A,46966.70,2.7020,I
SN1987A,46967.17,2.7300,I
SN1987A,46967.17,2.73,I
SN1987A,46967.69,2.7380,I
SN1987A,46967.69,2.74,I
SN1987A,46970.18,2.81,I
