event,time,magnitude,band
SN1987A,46850.8,4.37,R
SN1987A,46850.82,4.4,R
SN1987A,46851.87,4.21,R
SN1987A,46851.9,4.22,R
SN1987A,46852.78,4.16,R
SN1987A,46852.8,4.11,R
SN1987A,46852.86,4.1,R
SN1987A,46852.94,4.11,R
SN1987A,46853.0,4.14,R
SN1987A,46853.93,4.05,R
SN1987A,46854.0,4.09,R
SN1987A,46854.86,4.05,R
SN1987A,46855.2,4.09,R
SN1987A,46855.85,4.05,R
SN1987A,46856.1,4.08,R
SN1987A,46857.1,4.05,R
SN1987A,46857.79,4,R
SN1987A,46857.8,4,R
SN1987A,46858.0,4.03,R
SN1987A,46858.94,3.96,R
SN1987A,46859.0,3.97,R
SN1987A,46859.1,3.95,R
SN1987A,46859.77,3.94,R
SN1987A,46859.9,3.91,R
SN1987A,46860.0,3.94,R
SN1987A,46860.1,3.9,R
SN1987A,46860.76,3.89,R
SN1987A,46861.77,3.84,R
SN1987A,46862.9,3.81,R
SN1987A,46863.1,3.79,R
SN1987A,46863.1,3.8,R
SN1987A,46863.75,3.78,R
SN1987A,46864.1,3.76,R
SN1987A,46864.75,3.75,R
SN1987A,46865.0,3.73,R
SN1987A,46865.1,3.72,R
SN1987A,46865.75,3.72,R
SN1987A,46866.1,3.69,R
SN1987A,46866.75,3.68,R
SN1987A,46866.91,3.68,R
SN1987A,46867.75,3.66,R
SN1987A,46868.1,3.56,R
SN1987A,46869.1,3.61,R
SN1987A,46870.1,3.58,R
SN1987A,46870.77,3.56,R
SN1987A,46871.75,3.53,R
SN1987A,46872.75,3.5,R
SN1987A,46873.1,3.47,R
SN1987A,46873.75,3.45,R
SN1987A,46873.88,3.46,R
SN1987A,46874.1,3.44,R
SN1987A,46874.75,3.42,R
SN1987A,46875.1,3.4,R
SN1987A,46875.75,3.4,R
SN1987A,46876.1,3.38,R
SN1987A,46876.1,3.39,R
SN1987A,46876.74,3.39,R
SN1987A,46877.75,3.35,R
SN1987A,46878.76,3.31,R
SN1987A,46879.75,3.3,R
SN1987A,46880.75,3.27,R
SN1987A,46881.74,3.23,R
SN1987A,46883.81,3.17,R
SN1987A,46884.75,3.15,R
SN1987A,46885.83,3.11,R
SN1987A,46885.84,3.1,R
SN1987A,46886.75,3.08,R
