event,time,magnitude,band
SN1987A,46850.45,4.06,U
SN1987A,46850.8,3.95,U
SN1987A,46850.82,3.99,U
SN1987A,46851.22,4.21,U
SN1987A,46851.87,4.21,U
SN1987A,46851.9,4.23,U
SN1987A,46852.78,4.5,U
SN1987A,46852.8,4.49,U
SN1987A,46852.86,4.52,U
SN1987A,46852.94,4.58,U
SN1987A,46853.0,4.67,U
SN1987A,46853.06,4.59,U
SN1987A,46853.08,4.61,U
SN1987A,46853.09,4.64,U
SN1987A,46853.93,5.21,U
SN1987A,46854.0,5.26,U
SN1987A,46854.06,5.33,U
SN1987A,46854.13,5.35,U
SN1987A,46854.2,5.35,U
SN1987A,46854.86,5.76,U
SN1987A,46855.03,5.89,U
SN1987A,46855.07,5.87,U
SN1987A,46855.14,5.97,U
SN1987A,46855.2,5.87,U
SN1987A,46855.2,5.98,U
SN1987A,46855.85,6.19,U
SN1987A,46856.02,6.32,U
SN1987A,46856.08,6.31,U
SN1987A,46856.1,6.21,U
SN1987A,46856.14,6.38,U
SN1987A,46856.19,6.38,U
SN1987A,46857.1,6.51,U
SN1987A,46857.12,6.66,U
SN1987A,46857.79,6.74,U
SN1987A,46857.8,6.73,U
SN1987A,46858.0,6.74,U
SN1987A,46858.12,6.87,U
SN1987A,46858.94,6.93,U
SN1987A,46859.0,6.94,U
SN1987A,46859.1,7.05,U
SN1987A,46859.48,6.99,U
SN1987A,46859.64,6.9,U
SN1987A,46859.77,7.09,U
SN1987A,46859.9,7.09,U
SN1987A,46860.0,7.06,U
SN1987A,46860.1,7.18,U
SN1987A,46860.76,7.24,U
SN1987A,46861.77,7.32,U
SN1987A,46862.9,7.38,U
SN1987A,46863.1,7.42,U
SN1987A,46863.1,7.46,U
SN1987A,46863.75,7.47,U
SN1987A,46864.1,7.51,U
SN1987A,46864.75,7.53,U
SN1987A,46865.0,7.58,U
SN1987A,46865.1,7.57,U
SN1987A,46865.75,7.58,U
SN1987A,46866.1,7.62,U
SN1987A,46866.75,7.61,U
SN1987A,46866.91,7.61,U
SN1987A,46867.75,7.66,U
SN1987A,46868.1,7.62,U
SN1987A,46869.1,7.76,U
SN1987A,46870.1,7.73,U
SN1987A,46870.1,7.79,U
SN1987A,46870.77,7.74,U
SN1987A,46871.75,7.76,U
SN1987A,46872.75,7.78,U
SN1987A,46873.1,7.74,U
SN1987A,46873.75,7.78,U
SN1987A,46873.88,7.77,U
SN1987A,46874.1,7.76,U
SN1987A,46874.1,7.8,U
SN1987A,46874.75,7.8,U
SN1987A,46875.1,7.75,U
SN1987A,46875.1,7.78,U
SN1987A,46875.75,7.8,U
SN1987A,46876.1,7.74,U
SN1987A,46876.1,7.77,U
SN1987A,46876.74,7.79,U
SN1987A,46877.75,7.8,U
SN1987A,46878.76,7.78,U
SN1987A,46879.75,7.81,U
SN1987A,46880.75,7.8,U
SN1987A,46881.74,7.8,U
SN1987A,46883.81,7.78,U
SN1987A,46884.75,7.79,U
SN1987A,46885.83,7.74,U
SN1987A,46885.84,7.75,U
SN1987A,46886.75,7.77,U
SN1987A,46887.74,7.78,U
SN1987A,46889.81,7.75,U
SN1987A,46890.89,7.71,U
SN1987A,46891.75,7.77,U
SN1987A,46892.84,7.75,U
SN1987A,46893.75,7.76,U
SN1987A,46894.75,7.75,U
SN1987A,46896.75,7.71,U
SN1987A,46897.75,7.68,U
SN1987A,46898.74,7.66,U
SN1987A,46902.74,7.5760,U
SN1987A,46902.74,7.58,U
