time,magnitude
56701.4273,14.045
56701.4273,14.049
56701.4940,14.073
56701.494,14.078
56701.8,13.46
56701.95,13.53
56702.8273,14.239
56702.8273,14.244
56702.8940,14.238
56702.894,14.242
56703.7615,14.420
56703.7615,14.425
56705.4940,14.602
56705.494,14.606
56705.5606,14.619
56705.5606,14.624
56706.67,14.09
56706.7642,14.740
56706.7642,14.744
56706.8273,14.755
56706.8273,14.759
56707.73,14.29
56707.7606,14.909
56707.7606,14.914
56707.8273,14.912
56707.8273,14.917
56708.5613,15.097
56708.5613,15.102
56708.6280,15.045
56708.628,15.05
56709.8280,15.340
56709.828,15.344
56709.9634,15.162
56709.9634,15.166
56710.85,14.6
56711.75,14.85
56713.0315,15.586
56713.0315,15.59
56713.0981,15.694
56713.0981,15.699
56713.9,14.99
56714.92,15.12
56715.81,15.49
56715.91,15.26
56716.73,15.48
56717.92,15.34
56719.68,15.42
