#A list of time and magnitude for band B in 2014J
time,magnitude
56678.869,12.966
56679.37,13.185
56679.66142439,12.8426963365081
56679.866,12.695
56679.88108997,13.0617976970876
56680.37,12.847
56680.5646,12.746
56680.6313,12.785
56680.63422823,12.5730337669433
56680.94803532,12.8089892621811
56681.3638,12.592
56681.4304,12.6
56681.63,12.49
56681.79531508,12.4213477500077
56681.828,12.329
56682.0362,12.513
56682.33,12.473
56682.874,12.209
56683.37,12.335
56683.3771,12.373
56683.4316,12.323
56683.67816072,12.2191017190763
56683.857,12.105
56684.0,12.142
56684.36,12.239
56684.3641,12.243
56684.4307,12.233
56684.61958198,12.0674157021407
56684.65096457,12.2191017190763
56684.99615111,12.1685393151012
56685.62376841,12.0000003584969
56685.6439,12.156
56685.7,12.08
56685.7105,12.141
56686.1258585,12.033707432824
56686.63,11.99
56686.69071376,12.0505615674823
56686.7761,12.146
56686.8455,12.094
56687.67,11.98
56687.8954,12.052
56687.9644,12.056
56688.22836973,12.0505615674823
56688.2974,12.015
56688.3639,12.065
56688.63,11.95
56688.8,11.846
56688.893,11.888
56689.3042,12.059
56689.3625,12.062
56689.39,12.037
56689.801,11.86
56690.20535688,11.9831474188282
56690.2969,12.081
56690.30,12.028
56690.3637,12.064
56690.68,11.85
56691.0,11.971
56691.4301,12.071
56691.4964,12.073
56691.7,11.88
56692.0,11.931
56692.2962,12.118
56692.368,12.106
56692.67,11.91
56693.0,11.965
56693.6291,12.089
56693.67,11.94
56693.6958,12.143
56693.99,12.01
56694.68,11.99
56695.4959,12.188
56695.5626,12.188
56695.66,12.03
56696.63,12.215
56696.6968,12.3
56697.2992,12.319
56697.3658,12.294
56698.631,12.381
56698.6952,12.374
56699.2372,12.451
56699.2952,12.46
56699.67,12.29
56699.931,12.408
56700.43,12.542
56700.7,12.39
56700.804,12.426
56701.30,12.646
56701.4285,12.61
56701.4952,12.595
56701.793,12.513
56701.8,12.48
56701.95,12.55
56702.8286,12.732
56702.844,12.625
56702.8953,12.698
56703.0,12.818
56703.34,12.887
56703.7628,12.822
56704.831,12.85
56705.33,13.066
56705.4952,12.961
56705.5619,12.985
56705.822,12.932
56706.2,13.211
56706.32,13.115
56706.67,13
56706.7654,13.146
56706.8286,13.126
56707.72,13.19
56707.73,13.08
56707.7619,13.191
56707.767,13.105
56707.8285,13.216
56708.27,13.335
56708.5626,13.32
56708.6292,13.281
56708.84,13.208
56709.0,13.538
56709.34,13.427
56709.791,13.28
56709.8293,13.414
56709.9646,13.408
56710.29,13.544
56710.748,13.347
56710.85,13.4
56711.25,13.640
56711.68,13.49
56711.75,13.56
56711.756,13.442
56712.0,13.745
56712.26,13.741
56712.795,13.539
56713.0327,13.721
56713.0994,13.718
56713.29,13.831
56713.72,13.8
56713.76,13.607
56713.9,13.71
56714.26,14.019
56714.68,13.84
56714.92,13.79
56715.81,14.04
56715.91,13.9
56716.73,14.13
56717.8,14.521
56717.92,14.08
56718.865,14.073
56719.36,14.411
56719.68,14.11
56720.773,14.181
56721.27,14.453
56722.749,14.296
56723.25,14.626
56723.3958,14.504
56723.748,14.335
56724.25,14.703
56724.749,14.361
56724.9,14.822
56725.25,14.758
56726.0,14.944
56726.752,14.341
56727.0,15.009
56727.25,14.716
56727.5901,14.802
56727.722,14.425
56728.0,14.969
56728.22,14.814
56728.771,14.527
56729.0,15.060
56729.27,14.866
56729.736,14.549
56730.24,14.853
56730.772,14.596
56730.9,15.003
56731.0585,14.864
56731.27,14.903
56731.4052,14.894
56731.5859,14.897
56732.785,14.603
56733.29,15.007
56734.779,14.68
56735.2504,14.897
56735.28,14.965
56736.749,14.722
56736.9,15.042
56737.25,14.988
56738.786,14.727
56739.0,15.124
56739.29,15.017
56739.6573,14.982
56739.761,14.716
56740.743,14.768
56741.24,15.044
56741.9,15.169
56742.8,15.156
56743.724,15.034
56743.816,14.779
56744.32,15.058
56744.8,15.142
56746.0,15.198
56746.9,15.200
56749.0476,15.212
56749.914,15.077
56751.8,15.223
56752.775,14.976
56753.28,15.182
56753.7126,15.093
56753.7774,15.002
56754.758,14.942
56754.8,15.248
56755.26,15.225
56756.754,14.973
56757.043,15.132
56757.25,15.268
56757.4424,15.104
56757.5146,15.014
56757.843,15.14
56758.769,15.049
56760.79,15.044
56761.29,15.277
56762.778,15.06
56763.28,15.272
56764.754,15.074
56765.26,15.376
56766.762,15.055
56767.26,15.380
56774.8,15.215
56777.9,15.407
56785.8,15.405
56798.9,15.571
