time,magnitude
56678.87,10.626
56679.37,10.849
56679.867,10.358
56680.37,10.531
56681.63,10.03
56681.83,10.041
56682.33,10.216
56682.876,9.911
56683.37,10.105
56683.859,9.833
56684.0,9.802
56684.36,10.070
56685.7,9.77
56686.63,9.72
56687.67,9.72
56688.63,9.71
56688.8,9.697
56688.895,9.768
56689.39,9.970
56689.802,9.787
56690.30,9.977
56690.68,9.86
56691.0,9.827
56691.7,9.9
56692.0,9.858
56692.67,9.93
56693.0,9.819
56693.67,9.95
56693.99,9.99
56694.68,9.99
56695.66,10.02
56699.67,10.27
56699.918,10.302
56700.43,10.495
56700.7,10.32
56700.802,10.298
56701.30,10.551
56701.796,10.337
56701.8,10.37
56701.95,10.38
56702.846,10.38
56703.0,10.367
56703.34,10.599
56704.833,10.388
56705.33,10.594
56705.824,10.39
56706.2,10.348
56706.32,10.603
56706.67,10.39
56707.73,10.37
56707.767,10.307
56708.27,10.579
56708.841,10.291
56709.0,10.280
56709.34,10.468
56709.793,10.231
56710.29,10.593
56710.749,10.223
56710.85,10.29
56711.25,10.493
56711.68,10.27
56711.75,10.21
56711.758,10.204
56712.0,10.122
56712.26,10.497
56712.797,10.188
56713.29,10.446
56713.72,10.13
56713.762,10.173
56713.9,10.12
56714.26,10.367
56714.68,10.11
56714.92,10.13
56715.81,10.14
56715.91,10.12
56716.73,10.16
56717.8,10.184
56717.92,10.08
56718.865,10.16
56719.36,10.304
56719.68,10.18
56720.771,10.21
56721.27,10.384
56722.751,10.298
56723.25,10.498
56723.749,10.369
56724.25,10.640
56724.751,10.443
56724.9,10.425
56725.25,10.693
56725.805,10.518
56726.0,10.480
56726.752,10.586
56727.0,10.545
56727.25,10.737
56727.724,10.651
56728.0,10.632
56728.22,10.837
56728.772,10.72
56729.0,10.687
56729.27,10.939
56729.737,10.78
56730.24,11.008
56730.774,10.851
56730.9,10.643
56731.27,11.017
56732.786,10.925
56733.29,11.131
56734.781,11.072
56735.28,11.288
56736.751,11.174
56736.9,11.148
56737.25,11.322
56738.788,11.277
56739.0,11.034
56739.29,11.421
56739.76,11.273
56740.745,11.369
56741.24,11.502
56741.9,11.238
56742.8,11.371
56743.818,11.484
56744.32,11.769
56744.8,11.370
56746.0,11.411
56746.9,11.480
56751.8,11.711
56752.777,11.921
56753.28,12.058
56754.759,11.99
56754.8,11.790
56755.26,12.160
56756.755,12.068
56757.25,12.278
56758.771,12.164
56760.792,12.224
56761.29,12.423
56762.78,12.333
56763.28,12.469
56764.756,12.33
56765.26,12.564
56766.763,12.315
56767.26,12.695
56774.8,12.480
56777.9,12.608
56785.8,12.731
56798.9,13.078
