time,magnitude
56677.68443724,11.3932586807338
56678.31205141,11.00561836355
56678.87,11.105
56678.90828613,11.1235949161792
56679.06518967,11.0561795725355
56679.37,11.155
56679.66142439,10.9550559595749
56679.69280384,10.8707864812728
56679.867,10.859
56679.88108997,10.8876406159311
56679.94385202,10.803371137629
56680.03799352,10.8876406159311
56680.37,10.846
56680.94803532,10.634830986035
56681.63,10.52
56681.79531508,10.4662920294307
56681.829,10.527
56682.33,10.580
56682.64259484,10.3651684164702
56682.875,10.412
56682.98778451,10.4494378947723
56683.01916397,10.4325837601139
56683.37,10.462
56683.67816072,10.280898938168
56683.858,10.331
56684.0,10.282
56684.36,10.310
56684.68234403,10.2640448035096
56684.99615111,10.280898938168
56684.99615111,10.3314601471534
56685.0275337,10.3483142818118
56685.65514787,10.3820225511285
56685.7,10.24
56686.00033754,10.3483142818118
56686.06309646,10.3483142818118
56686.1258585,10.2134835945242
56686.63,10.16
56686.69071376,10.1629211905491
56687.67,10.14
56688.19699028,10.1123599815637
56688.63,10.11
56688.8,10.093
56688.894,10.141
56689.39,10.192
56689.802,10.124
56690.23673634,10.0955058469053
56690.30,10.185
56690.68,10.05
56691.0,10.040
56691.7,10.06
56692.0,10.071
56692.67,10.08
56693.0,10.078
56693.67,10.08
56693.99,10.11
56694.68,10.12
56695.66,10.17
56699.67,10.42
56699.918,10.536
56700.43,10.702
56700.7,10.52
56700.806,10.591
56701.30,10.838
56701.794,10.652
56701.8,10.6
56701.95,10.57
56702.846,10.735
56703.0,10.655
56703.34,10.801
56704.832,10.816
56705.33,10.885
56705.823,10.846
56706.2,10.835
56706.32,10.929
56706.67,10.81
56707.72,10.77
56707.73,10.81
56707.767,10.827
56708.27,10.908
56708.841,10.863
56709.0,10.770
56709.34,10.919
56709.792,10.839
56710.29,11.028
56710.749,10.832
56710.85,10.81
56711.25,10.920
56711.68,10.81
56711.75,10.76
56711.758,10.841
56712.0,10.789
56712.26,10.946
56712.796,10.871
56713.29,10.983
56713.72,10.84
56713.761,10.902
56713.9,10.8
56714.26,11.006
56714.68,10.85
56714.92,10.81
56715.81,10.9
56715.91,10.85
56716.73,10.94
56717.8,10.995
56717.92,10.86
56718.864,11.064
56719.36,11.092
56719.68,10.94
56720.771,11.158
56721.27,11.207
56722.751,11.269
56723.25,11.345
56723.749,11.336
56724.25,11.426
56724.75,11.369
56724.9,11.326
56725.25,11.514
56725.798,11.374
56726.0,11.371
56726.752,11.456
56727.0,11.457
56727.25,11.506
56727.724,11.562
56728.0,11.537
56728.22,11.619
56728.772,11.614
56729.0,11.550
56729.27,11.724
56729.737,11.662
56730.24,11.586
56730.774,11.739
56730.9,11.650
56731.27,11.755
56732.786,11.779
56733.29,11.912
56734.781,11.874
56735.28,11.951
56736.75,11.984
56736.9,11.904
56737.25,11.948
56738.787,12.03
56739.0,11.958
56739.29,12.086
56739.76,12.04
56740.744,12.103
56741.24,12.147
56741.9,12.035
56742.8,12.065
56743.818,12.178
56744.32,12.244
56744.8,11.920
56746.0,12.092
56746.9,12.060
56751.8,12.318
56752.777,12.505
56753.28,12.534
56754.759,12.542
56754.8,12.420
56755.26,12.602
56756.755,12.608
56757.25,12.722
56758.769,12.679
56760.791,12.737
56761.29,12.801
56762.78,12.807
56763.28,12.884
56764.756,12.819
56765.26,12.932
56766.763,12.824
56767.26,13.086
56774.8,12.945
56777.9,13.062
56785.8,13.199
56798.9,13.545
