time,magnitude
56678.87690354,14.1573033049949
56680.5633,13.810
56680.5633,13.814
56680.6300,13.789
56680.63,13.793
56681.3625,13.646
56681.3625,13.65
56681.4291,13.570
56681.4291,13.575
56681.79531508,13.634831105534
56682.0345,13.454
56682.0345,13.458
56682.64259484,13.3483144013108
56683.3758,13.253
56683.3758,13.257
56683.4303,13.223
56683.4303,13.227
56683.67816072,13.3314602666524
56684.3628,13.107
56684.3628,13.112
56684.4295,13.143
56684.4295,13.147
56684.65096457,13.3314602666524
56685.6426,13.039
56685.6426,13.044
56685.7,13
56685.7093,13.018
56685.7093,13.022
56686.63,12.9
56686.65933117,13.2640449230086
56686.7748,12.984
56686.7748,12.988
56686.8443,12.971
56686.8443,12.975
56687.67,13.02
56687.8941,12.998
56687.8941,13.002
56687.9631,12.972
56687.9631,12.976
56688.0291,12.980
56688.0291,12.984
56688.2962,12.996
56688.2962,13.0
56688.3626,12.982
56688.3626,12.986
56688.63,12.93
56689.3029,13.032
56689.3029,13.036
56689.3612,13.033
56689.3612,13.037
56690.2956,13.056
56690.2956,13.06
56690.3625,13.072
56690.3625,13.076
56690.68,12.72
56691.4288,13.132
56691.4288,13.136
56691.4952,13.137
56691.4952,13.141
56691.7,12.79
56692.2950,13.217
56692.295,13.221
56692.3668,13.243
56692.3668,13.247
56692.67,12.79
56693.6278,13.315
56693.6278,13.319
56693.67,12.73
56693.6945,13.294
56693.6945,13.298
56693.99,12.88
56695.4947,13.477
56695.4947,13.481
56695.5613,13.478
56695.5613,13.482
56696.6288,13.563
56696.6288,13.567
56696.6955,13.556
56696.6955,13.56
56697.2979,13.683
56697.2979,13.687
56697.3646,13.657
56697.3646,13.661
56698.6297,13.777
56698.6297,13.781
56698.6940,13.797
56698.694,13.801
56699.2359,13.883
56699.2359,13.887
56699.2940,13.855
56699.294,13.859
56699.67,13.06
56701.4273,14.045
56701.4273,14.049
56701.4940,14.073
56701.494,14.078
56701.8,13.46
56701.95,13.53
56702.8273,14.239
56702.8273,14.244
56702.8940,14.238
56702.894,14.242
56703.7615,14.420
56703.7615,14.425
56705.4940,14.602
56705.494,14.606
56705.5606,14.619
56705.5606,14.624
56706.67,14.09
56706.7642,14.740
56706.7642,14.744
56706.8273,14.755
56706.8273,14.759
56707.73,14.29
56707.7606,14.909
56707.7606,14.914
56707.8273,14.912
56707.8273,14.917
56708.5613,15.097
56708.5613,15.102
56708.6280,15.045
56708.628,15.05
56709.8280,15.340
56709.828,15.344
56709.9634,15.162
56709.9634,15.166
56710.85,14.6
56711.75,14.85
56713.0315,15.586
56713.0315,15.59
56713.0981,15.694
56713.0981,15.699
56713.9,14.99
56714.92,15.12
56715.81,15.49
56715.91,15.26
56716.73,15.48
56717.92,15.34
56719.68,15.42
56723.3938,16.259
56723.3938,16.263
56727.5881,16.539
56727.5881,16.544
56731.0566,16.630
56731.0566,16.635
56731.4032,16.662
56731.4032,16.667
56731.5839,16.584
56731.5839,16.589
56735.2484,16.668
56735.2484,16.673
56739.6554,16.638
56739.6554,16.643
56743.7220,16.911
56743.722,16.916
56749.0464,16.809
56749.0464,16.814
56749.9128,16.770
56749.9128,16.775
56753.7113,16.934
56753.7113,16.939
56753.7761,17.065
56753.7761,17.07
56757.0417,16.866
56757.0417,16.872
56757.4412,16.769
56757.4412,16.775
56757.5134,16.919
56757.5134,16.925
56757.8417,17.037
56757.8417,17.042
