#A list of time, magnitude, and bands for 2014J 
event,time,magnitude,band
SN2014J,56673.38,14.016,CLEAR
SN2014J,56675.35,12.778,CLEAR
SN2014J,56677.45,11.800,CLEAR
SN2014J,56677.68443724,11.3932586807338,R
SN2014J,56678.31205141,11.00561836355,R
SN2014J,56678.81414463,11.2078655297216,i'
SN2014J,56678.84552409,12.5056184232995,g'
SN2014J,56678.84552409,11.4662920294307,r'
SN2014J,56678.84552409,10.9325837003645,z'
SN2014J,56678.869,12.966,B
SN2014J,56678.869,11.721,V
SN2014J,56678.87,10.626,I
SN2014J,56678.87,11.105,R
SN2014J,56678.87690354,14.1573033049949,U
SN2014J,56678.87690354,11.9494379545218,V
SN2014J,56678.90828613,11.1235949161792,R
SN2014J,56679.06518967,11.0561795725355,R
SN2014J,56679.37,13.185,B
SN2014J,56679.37,11.229,CLEAR
SN2014J,56679.37,10.849,I
SN2014J,56679.37,11.155,R
SN2014J,56679.37,11.820,V
SN2014J,56679.4377,16.968,UVW2
SN2014J,56679.4377,17.05,UVW2
SN2014J,56679.4496,20.050,UVM2
SN2014J,56679.4496,20.113,UVM2
SN2014J,56679.4617,15.722,UVW1
SN2014J,56679.4617,15.771,UVW1
SN2014J,56679.6300418,12.235954658745,g'
SN2014J,56679.66142439,12.8426963365081,B
SN2014J,56679.66142439,10.9550559595749,R
SN2014J,56679.66142439,12.2191017190763,g'
SN2014J,56679.66142439,10.9213488254984,i'
SN2014J,56679.66142439,11.1573031257465,i'
SN2014J,56679.66142439,11.0449434429302,r'
SN2014J,56679.66142439,11.2471906688513,r'
SN2014J,56679.69280384,10.8707864812728,R
SN2014J,56679.866,12.695,B
SN2014J,56679.867,10.358,I
SN2014J,56679.867,10.859,R
SN2014J,56679.867,11.482,V
SN2014J,56679.88108997,13.0617976970876,B
SN2014J,56679.88108997,10.8876406159311,R
SN2014J,56679.88108997,11.6629212502986,V
SN2014J,56679.94385202,10.803371137629,R
SN2014J,56680.03799352,10.8876406159311,R
SN2014J,56680.05,12.295,g
SN2014J,56680.05,10.836,i
SN2014J,56680.05,10.941,r
SN2014J,56680.05,10.415,z
SN2014J,56680.1872,16.675,UVW2
SN2014J,56680.1872,16.757,UVW2
SN2014J,56680.1989,20.242,UVM2
SN2014J,56680.1989,20.306,UVM2
SN2014J,56680.20,,
SN2014J,56680.2002,15.565,UVW1
SN2014J,56680.2002,15.614,UVW1
SN2014J,56680.37,12.847,B
SN2014J,56680.37,10.924,CLEAR
SN2014J,56680.37,10.531,I
SN2014J,56680.37,10.846,R
SN2014J,56680.37,11.546,V
SN2014J,56680.5633,13.810,U
SN2014J,56680.5633,13.814,U
SN2014J,56680.5646,12.746,B
SN2014J,56680.5682,11.529,V
SN2014J,56680.5954,15.482,UVW1
SN2014J,56680.5954,15.532,UVW1
SN2014J,56680.5998,16.554,UVW2
SN2014J,56680.5998,16.636,UVW2
SN2014J,56680.6036,19.748,UVM2
SN2014J,56680.6036,19.811,UVM2
SN2014J,56680.6300,13.789,U
SN2014J,56680.63,13.793,U
SN2014J,56680.6313,12.785,B
SN2014J,56680.63422823,12.5730337669433,B
SN2014J,56680.63422823,12.0674157021407,g'
SN2014J,56680.63422823,10.6853933302606,i'
SN2014J,56680.63422823,10.8258432773405,r'
SN2014J,56680.6349,11.528,V
SN2014J,56680.94803532,12.8089892621811,B
SN2014J,56680.94803532,10.634830986035,R
SN2014J,56680.94803532,11.3764045460754,V
SN2014J,56681.3625,13.646,U
SN2014J,56681.3625,13.65,U
SN2014J,56681.3638,12.592,B
SN2014J,56681.3674,11.397,V
SN2014J,56681.3946,15.192,UVW1
