#A list of time and magnitude for V band of 2014J
time,magnitude
56678.869,11.721
56678.87690354,11.9494379545218
56679.37,11.820
56679.867,11.482
56679.88108997,11.6629212502986
56680.37,11.546
56680.5682,11.529
56680.6349,11.528
56680.94803532,11.3764045460754
56681.3674,11.397
56681.434,11.403
56681.63,11.2
56681.76393562,11.1741573201543
56681.829,11.129
56682.0396,11.277
56682.33,11.233
56682.64259484,11.0393254378771
56682.875,11
56683.37,11.028
56683.3807,11.139
56683.4352,11.147
56683.858,10.892
56684.0,10.921
56684.36,10.942
56684.3677,11.005
56684.4344,11.04
56684.65096457,10.8876406159311
56684.99615111,10.9213488852479
56685.6475,10.921
56685.7,10.77
56685.7142,10.903
56686.09447904,10.8539323466144
56686.63,10.7
56686.69071376,10.803371137629
56686.7797,10.872
56686.8492,10.85
56687.67,10.67
56687.899,10.802
56687.968,10.781
56688.19699028,10.7191016593268
56688.3011,10.765
56688.3675,10.804
56688.63,10.61
56688.8,10.669
56688.894,10.621
56689.3078,10.795
56689.3661,10.797
56689.39,10.689
56689.801,10.601
56690.20535688,10.7022499146479
56690.30,10.661
56690.3005,10.769
56690.3674,10.772
56690.68,10.56
56691.0,10.622
56691.4337,10.744
56691.5,10.764
56691.7,10.57
56692.0,10.588
56692.2999,10.722
56692.3717,10.749
56692.67,10.58
56693.0,10.584
56693.6327,10.73
56693.67,10.59
56693.6994,10.803
56693.99,10.65
56694.68,10.61
56695.4996,10.775
56695.5662,10.775
56695.66,10.63
56696.6337,10.797
56696.7004,10.815
56697.3028,10.816
56697.3695,10.829
56698.6346,10.93
56698.6988,10.884
56699.2408,10.904
56699.2989,10.928
56699.67,10.82
56699.928,10.975
56700.43,10.982
56700.7,10.89
56700.804,10.948
56701.30,11.129
56701.4322,11.052
56701.4988,11.042
56701.793,10.996
56701.8,10.95
56701.95,10.94
56702.8322,11.123
56702.845,11.104
56702.8989,11.116
56703.0,11.136
56703.34,11.165
56703.7664,11.163
56704.832,11.228
56705.33,11.223
56705.4989,11.265
56705.5655,11.29
56705.823,11.28
56706.2,11.345
56706.32,11.311
56706.67,11.25
56706.7691,11.332
56706.8322,11.336
56707.72,11.28
56707.73,11.29
56707.7655,11.352
56707.766,11.33
56707.8322,11.37
56708.27,11.508
56708.5662,11.414
56708.6329,11.415
56708.841,11.39
56709.0,11.362
56709.34,11.388
56709.792,11.412
56709.8329,11.475
56710.29,11.460
56710.748,11.43
56710.85,11.41
56711.25,11.520
56711.68,11.45
56711.75,11.43
56711.757,11.469
56712.0,11.458
56712.26,11.583
56712.796,11.517
56713.0364,11.564
56713.103,11.589
56713.29,11.561
56713.72,11.51
56713.761,11.565
56713.9,11.47
56714.26,11.588
56714.68,11.54
56714.92,11.53
56715.81,11.63
56715.91,11.58
56716.73,11.67
56717.8,11.726
56717.92,11.65
56718.866,11.848
56719.36,11.850
56719.68,11.81
56720.77,11.954
56721.27,11.981
56722.75,12.064
56723.25,12.150
56723.4014,12.109
56723.748,12.122
56724.25,12.148
56724.75,12.146
56724.9,12.179
56725.25,12.176
56725.798,12.189
56726.0,12.152
56726.751,12.227
56727.0,12.250
56727.25,12.276
56727.5936,12.323
56727.723,12.296
56728.0,12.343
56728.22,12.272
56728.771,12.364
56729.0,12.367
56729.27,12.469
56729.736,12.393
56730.24,12.564
56730.773,12.457
56730.9,12.438
56731.0626,12.439
56731.27,12.492
56731.4071,12.474
56731.5888,12.468
56732.785,12.49
56733.29,12.673
56734.78,12.58
56735.2578,12.582
56735.28,12.639
56736.75,12.671
56736.9,12.659
56737.25,12.674
56738.787,12.706
56739.0,12.714
56739.29,12.734
56739.6651,12.712
56739.76,12.688
56740.744,12.752
56741.24,12.784
56741.9,12.792
56742.8,12.809
56743.7272,12.83
56743.817,12.82
56744.32,12.919
56744.8,12.855
56746.0,12.916
56746.9,12.938
56749.0511,12.927
56749.9176,12.984
56751.8,13.045
56752.776,13.115
56753.28,13.135
56753.7162,13.036
56753.781,13.074
56754.758,13.14
56754.8,13.124
56755.26,13.194
56756.754,13.184
56757.0466,13.232
56757.25,13.266
56757.4461,13.175
56757.8466,13.159
56758.768,13.252
56760.791,13.308
56761.29,13.370
56762.779,13.356
56763.28,13.429
56764.755,13.377
56765.26,13.493
56766.762,13.373
56767.26,13.538
56774.8,13.602
56777.9,13.682
56785.8,13.829
56798.9,14.108
